序號,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限_速度(公里),道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別,縣市別代碼,機關代碼,市話,傳真
1,2023,03,1,0,21,臺中市,北區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,2,9,1,1,C02,7,9,3,18,2,11,"  ",6,6,1,5,8,C02,120.669204,24.161613,2,66000,387130000C,(04)23289100,(04)25368667
2,2023,03,1,0,42,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",6,"   ",1,21,"  ",B03,120.713448,24.178236,3,66000,387130000C,(04)23289100,(04)25368667
3,2023,03,1,0,55,臺中市,龍井區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,7,5,5,1,20,23,3,10,1,1,B03,7,15,1,8,2,5,"  ",23,23,1,20,8,B03,120.52917,24.212326,2,66000,387130000C,(04)23289100,(04)25368667
4,2023,03,1,1,39,臺中市,北區,0,1,0,8,3,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,17,23,2,8,1,1,C03,7,9,1,10,2,12,"  ",23,23,1,22,9,C03,120.686981,24.155445,2,66000,387130000C,(04)23289100,(04)25368667
5,2023,03,1,1,54,臺中市,北屯區,0,2,0,8,3,5,50,5,1,1,5,4,5,7,3,1,10,5,5,2,17,6,2,9,3,4,C03,7,9,1,10,2,12,"  ",6,6,1,21,8,C03,120.680608,24.189761,2,66000,387130000C,(04)23289100,(04)25368667
6,2023,03,1,4,52,臺中市,北屯區,0,1,0,8,3,5,50,4,2,1,5,4,5,7,3,1,10,5,5,2,18,23,2,9,1,1,C03,7,9,1,10,2,12,"  ",23,23,1,21,1,C03,120.693097,24.174858,2,66000,387130000C,(04)23289100,(04)25368667
7,2023,03,1,5,12,臺中市,南區,0,0,0,8,3,5,50,5,1,1,5,4,5,7,4,4,10,5,5,2,14,12,3,10,1,1,B12,7,2,1,8,11,7,"  ",12,12,2,10,8,B12,120.657261,24.126412,3,66000,387130000C,(04)23289100,(04)25368667
8,2023,03,1,5,31,臺中市,西屯區,0,1,0,8,2,5,50,3,4,1,5,4,5,7,2,1,10,4,5,1,17,23,3,10,1,1,B03,7,9,1,8,2,1,"  ",23,23,1,1,9,B03,120.657729,24.18746,2,66000,387130000C,(04)23289100,(04)25368667
9,2023,03,1,5,52,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",7,"   ",1,22,"  ",B03,120.701919,24.201727,3,66000,387130000C,(04)23289100,(04)25368667
10,2023,03,1,6,7,臺中市,北區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,1,"  ",6,6,1,5,8,B03,120.684054,24.154645,2,66000,387130000C,(04)23289100,(04)25368667
11,2023,03,1,6,20,臺中市,梧棲區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,4,"  ",B03,120.529211,24.251659,3,66000,387130000C,(04)23289100,(04)25368667
12,2023,03,1,6,31,臺中市,清水區,0,1,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,1,12,17,3,10,1,1,B03,7,9,1,8,2,2,"  ",17,17,1,21,8,B03,120.555912,24.267753,2,66000,387130000C,(04)23289100,(04)25368667
13,2023,03,1,6,42,臺中市,潭子區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,10,19,3,10,1,1,C03,7,1,1,10,2,11,"  ",19,19,1,22,8,C03,120.709687,24.215136,2,66000,387130000C,(04)23289100,(04)25368667
14,2023,03,1,6,42,臺中市,沙鹿區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,3,10,1,1,C03,7,6,6,10,2,14,"  ",25,25,1,21,8,C03,120.560836,24.241137,2,66000,387130000C,(04)23289100,(04)25368667
15,2023,03,1,6,43,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,17,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",17,"   ",1,22,"  ",B12,120.690261,24.156403,3,66000,387130000C,(04)23289100,(04)25368667
16,2023,03,1,6,59,臺中市,潭子區,0,1,0,8,1,5,60,3,2,1,5,4,5,7,1,1,1,4,4,1,17,17,3,10,1,1,B03,7,9,1,8,2,2,"  ",17,17,1,22,8,B03,120.709016,24.233109,2,66000,387130000C,(04)23289100,(04)25368667
17,2023,03,1,7,0,臺中市,大里區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,3,18,2,12,"  ",6,6,1,19,5,C03,120.676366,24.102355,2,66000,387130000C,(04)23289100,(04)25368667
18,2023,03,1,7,5,臺中市,北區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,"  ",6,6,1,22,9,C03,120.683148,24.159082,2,66000,387130000C,(04)23289100,(04)25368667
19,2023,03,1,7,7,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",19,"   ",1,22,"  ",B03,120.639704,24.171419,3,66000,387130000C,(04)23289100,(04)25368667
20,2023,03,1,7,11,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",C03,"  ","  ",1,"  ",2,"  ","  ",16,"   ",1,22,"  ",C03,120.634639,24.23364,3,66000,387130000C,(04)23289100,(04)25368667
21,2023,03,1,7,15,臺中市,東區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,5,5,2,17,42,3,10,1,1,C03,7,5,3,18,2,11,"  ",42,42,1,22,8,C03,120.697995,24.141086,2,66000,387130000C,(04)23289100,(04)25368667
22,2023,03,1,7,15,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,4,"  ",B03,120.669432,24.1127,3,66000,387130000C,(04)23289100,(04)25368667
23,2023,03,1,7,17,臺中市,北屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",12,12,1,22,"  ",B03,120.72168,24.157491,3,66000,387130000C,(04)23289100,(04)25368667
24,2023,03,1,7,18,臺中市,大雅區,0,0,0,8,,,30,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",6,"   ",1,22,"  ",B03,120.663539,24.241158,3,66000,387130000C,(04)23289100,(04)25368667
25,2023,03,1,7,18,臺中市,龍井區,0,0,0,8,1,5,60,4,2,1,5,4,5,7,2,1,1,4,1,2,13,23,3,10,3,4,B03,7,9,1,8,2,1,"  ",23,23,1,22,9,B03,120.580342,24.188958,3,66000,387130000C,(04)23289100,(04)25368667
26,2023,03,1,7,20,臺中市,霧峰區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,1,13,16,2,9,1,1,C03,7,9,1,10,2,11,"  ",16,16,1,4,8,C03,120.673504,24.045723,2,66000,387130000C,(04)23289100,(04)25368667
