序號,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限_速度(公里),道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別,縣市別代碼,機關代碼,市話,傳真
1,2023,01,1,0,2,臺中市,后里區,0,2,0,8,3,8,50,14,9,1,5,4,5,7,4,4,1,4,5,2,13,23,2,9,1,1,C03,7,9,2,18,2,11,"  ",23,23,1,21,8,C03,120.688213,24.317256,2,66000,387130000C,(04)23289100,(04)25368667
2,2023,01,1,0,5,臺中市,西屯區,0,2,0,8,3,5,40,3,1,1,5,4,5,7,2,1,1,2,1,2,29,23,2,9,3,4,C03,7,9,1,10,2,11,"  ",23,23,1,22,8,C03,120.634595,24.176292,2,66000,387130000C,(04)23289100,(04)25368667
3,2023,01,1,0,10,臺中市,西屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,23,1,21,"  ",B03,120.650673,24.175868,3,66000,387130000C,(04)23289100,(04)25368667
4,2023,01,1,0,10,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",F01,"  ","  ",8,"  ",10,"  ","  ",23,"   ",1,16,"  ",F01,120.569484,24.225342,3,66000,387130000C,(04)23289100,(04)25368667
5,2023,01,1,0,12,臺中市,北屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,1,2,5,2,12,23,3,10,1,1,B03,7,6,1,8,2,6,"  ",23,23,1,22,8,B03,120.659188,24.184863,2,66000,387130000C,(04)23289100,(04)25368667
6,2023,01,1,0,12,臺中市,西屯區,0,1,0,6,3,5,30,14,9,1,4,4,5,7,4,4,10,5,5,2,13,23,3,10,1,1,B03,7,9,1,8,2,8,"  ",23,23,1,21,8,B03,120.646861,24.181938,2,66000,387130000C,(04)23289100,(04)25368667
7,2023,01,1,0,14,臺中市,東勢區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,4,4,5,5,5,1,18,23,2,9,1,1,C03,7,9,1,10,2,11,"  ",23,23,1,22,8,C03,120.831293,24.251491,2,66000,387130000C,(04)23289100,(04)25368667
8,2023,01,1,0,15,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,22,"  ",B03,120.641103,24.173546,3,66000,387130000C,(04)23289100,(04)25368667
9,2023,01,1,0,18,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,21,"  ",B03,120.650335,24.177173,3,66000,387130000C,(04)23289100,(04)25368667
10,2023,01,1,0,19,臺中市,西屯區,0,2,0,8,3,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,C03,7,5,1,10,2,11,"  ",6,6,1,22,8,C03,120.667155,24.178101,2,66000,387130000C,(04)23289100,(04)25368667
