序號,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限_速度(公里),道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別,縣市別代碼,機關代碼,市話,傳真
1,2023,04,1,0,17,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.713616,24.180141,3,66000,387130000C,(04)23289100,(04)25368667
2,2023,04,1,0,23,臺中市,西屯區,0,1,0,8,3,5,50,14,9,1,5,4,5,7,4,4,1,4,5,1,17,43,2,9,1,1,C04,7,15,1,11,7,15,"  ",43,43,1,1,9,C04,120.658407,24.170662,2,66000,387130000C,(04)23289100,(04)25368667
3,2023,04,1,0,32,臺中市,北屯區,0,1,0,6,3,5,15,11,9,1,4,4,5,7,4,4,5,5,5,2,19,13,2,8,1,1,C03,7,9,1,10,2,11,"  ",13,13,1,22,8,C03,120.680226,24.181301,2,66000,387130000C,(04)23289100,(04)25368667
4,2023,04,1,0,33,臺中市,北屯區,0,2,0,8,1,5,50,4,9,1,5,4,5,7,2,1,3,4,5,2,12,23,2,9,1,1,C03,7,9,2,18,2,14,"  ",23,23,1,22,8,C03,120.69956,24.164908,2,66000,387130000C,(04)23289100,(04)25368667
5,2023,04,1,0,49,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,25,"  ","  ","  ","  ",B01,"  ","  ",1,"  ",2,"  ","  ",25,"   ",1,22,"  ",B01,120.640739,24.148775,3,66000,387130000C,(04)23289100,(04)25368667
6,2023,04,1,1,9,臺中市,西屯區,0,1,0,6,3,5,50,5,1,1,4,4,5,7,1,1,1,4,5,2,16,25,3,10,3,4,B03,7,11,1,8,2,1,"  ",25,25,1,22,8,B03,120.659879,24.192503,2,66000,387130000C,(04)23289100,(04)25368667
7,2023,04,1,1,12,臺中市,北屯區,0,0,0,,,,25,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",16,"   ",1,22,"  ",B03,120.785958,24.205508,3,66000,387130000C,(04)23289100,(04)25368667
8,2023,04,1,1,17,臺中市,大里區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,3,1,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,2,"  ",6,6,2,22,5,B03,120.670211,24.10714,2,66000,387130000C,(04)23289100,(04)25368667
9,2023,04,1,1,31,臺中市,沙鹿區,0,0,0,6,,,50,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",B02,"  ","  ",1,"  ",2,"  ","  ",6,"   ",1,22,"  ",B02,120.558759,24.233598,3,66000,387130000C,(04)23289100,(04)25368667
10,2023,04,1,2,18,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,"  ","  ","  ","  ",B03,"  ","  ",6,"  ",2,"  ","  ",42,"   ",1,5,"  ",B03,120.658403,24.127553,3,66000,387130000C,(04)23289100,(04)25368667
