序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,0,14,臺中市,太平區,0,3,0,7,1,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,16,15,2,7,1,1,C03,7,9,1,10,2,12,,15,15,1,12,4,C03,120.732086,24.150122,2
2,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,4,5,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,7,,,,,B12,,,1,,2,,,7,7,1,12,4,B12,120.647788,24.171075,3
3,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,4,9,臺中市,豐原區,0,4,0,7,1,6,40,12,9,1,5,4,6,6,4,4,5,5,5,1,17,59,3,10,5,4,B03,7,9,2,19,2,1,,59,59,1,12,4,B03,120.751381,24.260691,2
4,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,6,25,臺中市,南區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,1,4,4,2,17,40,3,10,3,1,B12,7,7,1,8,2,3,,40,40,1,13,4,B12,120.657855,24.129151,2
5,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,6,30,臺中市,沙鹿區,0,0,0,7,,,60,,,,,,,,,,,,,,17,35,,,,,B03,,,1,,2,,,35,,1,6,4,B03,120.597591,24.249998,3
6,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,6,55,臺中市,潭子區,0,0,0,7,,,30,,,,,,,,,,,,,,,41,,,,,C03,,,1,,9,,,41,,1,13,4,C03,120.693233,24.220816,3
7,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,5,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,10,5,5,2,19,59,2,9,2,1,C03,7,9,1,10,2,11,,59,59,1,12,4,C03,120.682185,24.203829,2
8,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,7,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,39,,,,,B12,,,1,,1,,,39,,1,12,4,B12,120.718838,24.172649,3
9,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,11,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,11,3,10,3,1,B03,7,5,1,8,2,2,,11,11,1,12,4,B03,120.704769,24.169524,2
10,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,11,臺中市,大里區,0,1,0,6,2,6,50,3,1,1,5,4,6,6,4,4,5,4,4,1,16,45,3,10,3,1,B03,7,11,1,8,2,8,,45,45,1,6,4,B03,120.679369,24.094081,2
11,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,11,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,,56,,,,,B03,,,1,,2,,,56,56,1,12,4,B03,120.618933,24.103142,3
12,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,18,臺中市,潭子區,0,1,0,7,2,6,60,13,7,1,5,4,6,6,4,4,1,4,4,1,13,7,2,7,2,1,C03,7,9,1,10,2,11,,7,7,1,13,4,C03,120.702656,24.196341,2
13,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,18,臺中市,北區,0,1,0,6,2,6,50,3,9,1,5,4,6,6,1,1,1,2,5,2,18,84,2,9,1,1,C03,7,12,1,10,2,12,,84,84,1,13,4,C03,120.680976,24.163174,2
14,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,18,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,,1,13,4,B03,120.709501,24.135305,3
15,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,21,臺中市,大雅區,0,0,0,7,,6,60,4,1,1,5,4,6,6,1,1,1,4,4,1,15,40,,,,,B12,,,1,,2,,,40,,1,12,4,B12,120.649996,24.212778,3
16,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,23,臺中市,龍井區,0,2,0,7,3,6,50,13,9,1,5,4,6,6,4,4,5,5,5,1,17,51,2,9,1,1,C03,7,1,1,10,2,14,,51,51,1,6,4,C03,120.523299,24.199331,2
17,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,23,臺中市,豐原區,0,1,0,7,2,6,40,13,7,1,5,4,6,6,4,4,5,4,4,2,17,39,3,10,3,1,B03,7,11,1,8,2,5,,39,39,1,13,4,B03,120.721268,24.27059,2
18,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,26,臺中市,大里區,0,1,0,7,3,6,50,4,2,1,5,4,6,6,2,1,5,4,5,1,13,7,2,8,1,1,C03,7,9,1,10,2,12,,7,7,1,12,4,C03,120.688258,24.101698,2
19,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,27,臺中市,南區,0,1,0,7,2,6,40,13,8,1,5,4,6,6,4,4,3,4,4,2,16,84,2,7,2,1,C03,7,9,1,10,2,14,,84,84,1,12,4,C03,120.647739,24.11114,2
20,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,30,臺中市,大雅區,0,0,0,7,,,50,,,,,,,,,,,,,,,14,,,,,C03,,,1,,1,,,14,,1,12,4,C03,120.653959,24.219067,3
21,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,30,臺中市,大肚區,0,0,0,7,,,40,,,,,,,,,,,,,,13,84,,,,,C03,,,1,,2,,,84,84,1,12,4,C03,120.582197,24.170849,3
22,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,30,臺中市,清水區,0,2,0,7,3,6,50,5,1,1,5,4,6,6,1,1,5,5,5,2,16,87,2,9,2,1,C03,7,9,1,10,2,12,,87,87,1,12,4,C03,120.55487,24.265696,2
23,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,32,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,58,,,,,B03,,,1,,1,,,58,58,1,13,4,B03,120.691832,24.175047,3
24,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,36,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,49,,,,,B12,,,1,,1,,,49,,1,12,4,B12,120.693212,24.162577,3
25,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,36,臺中市,霧峰區,0,2,0,7,2,6,50,13,19,1,5,4,6,6,2,1,5,5,5,2,3,10,2,9,2,1,C03,7,9,1,10,2,11,,10,10,1,13,4,C03,120.686263,24.053613,2
26,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,43,臺中市,東區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,12,1,3,10,1,1,C03,7,9,1,8,2,12,,1,1,1,12,4,C03,120.702112,24.127519,2
27,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,45,臺中市,北屯區,0,0,0,7,,,40,,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,14,,1,12,4,B03,120.71892,24.161512,3
28,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,45,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,17,51,,,,,B03,,,1,,2,,,51,,1,12,4,B03,120.545297,24.263571,3
29,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,46,臺中市,北區,0,2,0,7,2,6,50,3,1,1,5,4,6,6,4,4,5,5,5,2,17,39,2,9,1,1,C03,7,6,1,10,2,14,,39,39,1,12,4,C03,120.676504,24.152384,2
30,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,49,臺中市,霧峰區,0,1,0,7,2,6,50,3,2,1,5,4,6,6,2,1,5,5,5,1,12,7,3,10,3,1,B03,7,9,1,8,2,2,,7,7,1,12,4,B03,120.678829,24.0648,2
31,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,49,臺中市,大甲區,0,0,0,7,3,4,50,3,2,1,5,4,6,6,4,4,9,5,5,1,13,87,3,10,3,1,B03,7,6,1,8,1,3,,87,87,1,6,4,B03,120.669299,24.392319,3
32,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,49,臺中市,大甲區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,47,3,10,3,1,B03,7,5,1,8,2,6,,47,47,1,13,4,B03,120.643581,24.409093,2
33,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,50,臺中市,西屯區,0,2,0,7,2,6,50,13,8,1,5,4,6,6,4,4,9,5,4,2,16,47,3,10,3,1,B03,7,5,1,8,2,2,,47,47,1,13,4,B03,120.610096,24.192295,2
34,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,52,臺中市,北區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,13,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,C03,120.66629,24.155848,2
35,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,53,臺中市,西區,0,1,0,7,2,6,50,5,1,1,5,4,6,6,2,1,10,5,5,2,16,20,3,10,3,1,B03,7,5,1,8,2,2,,20,20,1,13,4,B03,120.672762,24.131777,2
36,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,53,臺中市,北區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,17,14,2,8,1,1,C04,7,6,1,10,2,14,,14,14,1,13,4,C04,120.684054,24.154645,2
37,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,53,臺中市,大里區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,5,5,5,2,15,15,2,9,1,1,C03,7,9,1,10,2,12,,15,15,1,6,4,C03,120.697805,24.10244,2
38,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,55,臺中市,東區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,7,3,10,3,1,B03,7,5,1,8,2,2,,87,7,1,13,4,B03,120.708692,24.142722,2
39,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,55,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,59,,,,,C03,,,1,,2,,,59,,1,12,4,C03,120.684849,24.133843,3
40,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,55,臺中市,南區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,58,2,8,2,1,C03,7,14,1,10,2,13,,87,58,1,13,4,C03,120.656736,24.11387,2
41,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,55,臺中市,烏日區,0,1,0,7,2,6,40,4,1,1,5,4,6,6,1,1,1,4,1,1,16,40,3,10,3,1,B03,7,8,1,8,2,4,,40,40,1,6,4,B03,120.640411,24.116672,2
42,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,57,臺中市,大里區,0,1,0,7,3,6,30,13,9,1,5,4,6,6,4,4,10,5,5,1,13,7,3,10,1,1,C03,7,9,1,10,2,13,11,87,7,1,13,4,C03,120.663988,24.095738,2
43,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,57,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,,58,,,,,B03,,,1,,2,,,58,,1,6,5,B03,120.572034,24.212693,3
44,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,59,臺中市,烏日區,0,1,0,7,2,6,60,13,8,1,5,4,6,6,4,4,1,4,1,1,23,84,2,9,2,1,C03,7,9,1,10,2,14,,84,84,1,12,4,C03,120.608306,24.0968,2
45,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,59,臺中市,后里區,0,2,0,7,2,6,30,4,1,1,5,4,6,3,4,4,10,5,5,2,15,13,2,7,1,1,C03,7,9,1,10,2,14,,13,13,1,12,4,C03,120.712723,24.30463,2
46,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,7,59,臺中市,神岡區,0,2,0,7,1,6,50,3,1,1,5,4,6,6,4,4,5,5,5,1,16,6,2,9,1,4,C03,7,9,1,10,2,12,,6,6,1,12,4,C03,120.696392,24.273625,2
47,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,0,臺中市,西屯區,0,1,0,7,2,6,40,13,8,1,5,4,6,6,4,4,1,4,1,2,17,20,3,10,5,4,B03,7,5,1,8,2,6,,20,20,1,13,4,B03,120.615268,24.182938,2
48,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,0,臺中市,清水區,0,0,0,7,,,30,,,,,,,,,,,,,,11,41,,,,,C03,,,1,,2,,,41,,1,11,4,C03,120.568878,24.270185,3
49,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,1,臺中市,烏日區,0,1,0,7,3,6,70,13,14,1,5,4,6,6,4,4,1,4,4,1,12,40,3,10,3,1,B03,7,7,1,8,2,5,,40,40,1,12,4,B03,120.610238,24.107757,2
50,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,2,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,16,11,,,,,B12,,,1,,2,,,11,,1,12,4,B12,120.667643,24.166962,3
51,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,2,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,B03,,,1,,2,,,7,,1,6,4,B03,120.691862,24.101233,3
52,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,2,臺中市,神岡區,0,2,0,7,3,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,17,20,2,9,5,4,C03,7,6,1,10,2,11,,20,20,1,12,4,C03,120.710638,24.258148,2
53,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,10,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,C04,,,1,,2,,,7,,1,12,4,C04,120.683451,24.199288,3
54,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,11,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,59,,,,,B03,,,1,,1,,,59,,1,12,4,B03,120.619464,24.186133,3
55,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,12,臺中市,北屯區,0,1,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,3,10,3,10,1,1,C03,7,9,1,10,2,11,,10,10,1,12,2,C03,120.681858,24.174349,2
56,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,13,臺中市,龍井區,0,1,0,7,3,6,30,3,1,1,5,4,6,6,3,1,10,5,5,2,16,24,3,10,3,1,B03,7,5,1,8,2,8,,24,20,1,6,4,B03,120.550404,24.213316,2
57,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,15,臺中市,大雅區,0,0,0,7,,6,70,13,7,1,5,4,6,6,4,4,1,4,4,1,12,8,,,,,B12,,,1,,2,,,8,,1,12,4,B12,120.629598,24.241548,3
58,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,15,臺中市,新社區,0,1,0,7,2,6,50,11,9,1,5,4,6,6,4,4,5,5,5,1,11,4,3,10,3,1,B03,7,5,1,8,2,8,,4,4,1,12,4,B03,120.819301,24.201874,2
59,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,17,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,12,40,,,,,B03,,,1,,1,,,20,40,1,12,4,B03,120.681667,24.148916,3
60,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,17,臺中市,西屯區,0,0,0,7,,,70,,,,,,,,,,,,,,,7,,,,,A11,,,1,,1,,,7,,1,13,4,A11,120.614383,24.183617,3
61,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,17,臺中市,霧峰區,0,1,0,7,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,15,2,9,1,1,C03,7,9,1,10,2,11,,15,15,1,13,4,C03,120.700613,24.070861,2
62,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,18,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,,11,,,,,B03,,,1,,2,,,11,,1,6,4,B03,120.677924,24.129393,3
63,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,18,臺中市,南屯區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,3,1,5,5,5,2,12,1,2,8,1,1,C03,7,6,1,10,2,14,,87,1,1,12,4,C03,120.638309,24.129592,2
64,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,18,臺中市,神岡區,0,2,0,7,1,6,50,13,9,1,5,4,6,6,4,4,9,4,4,2,13,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,C03,120.656178,24.260566,2
65,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,19,臺中市,大肚區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,16,47,3,10,3,1,B12,7,5,1,8,2,2,,47,47,1,12,4,B12,120.576551,24.118824,2
66,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,20,臺中市,北屯區,0,2,0,7,1,6,50,13,9,1,5,4,6,6,4,4,3,4,5,2,12,58,3,10,3,1,B03,7,9,1,8,2,2,,58,58,1,13,4,B03,120.684531,24.172525,2
67,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,20,臺中市,西屯區,0,1,0,7,3,6,30,13,9,1,5,4,6,6,4,4,9,5,5,2,12,8,3,10,3,1,B03,7,9,1,8,2,6,,8,8,1,12,4,B03,120.618929,24.169285,2
68,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,20,臺中市,西屯區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,1,1,9,4,5,2,16,11,3,10,3,1,B02,7,6,1,8,2,2,,11,11,1,12,4,B02,120.661528,24.166913,2
69,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,21,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,56,,,,,B03,,,1,,1,,,56,,1,12,4,B03,120.719475,24.163003,3
70,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,22,臺中市,東區,0,1,0,7,1,6,50,4,9,1,5,4,6,6,1,1,9,4,5,2,12,42,3,10,3,1,B03,7,7,1,8,2,2,,42,42,1,12,4,B03,120.701456,24.138879,2
71,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,23,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,40,,,,,B03,,,1,,1,,,40,,1,12,4,B03,120.620433,24.188211,3
72,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,24,臺中市,西屯區,0,1,0,7,2,6,50,4,9,1,5,4,6,6,2,1,10,5,5,2,16,47,3,10,3,1,B03,7,5,1,8,2,2,,47,47,1,13,4,B03,120.638206,24.155208,2
73,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,25,臺中市,大雅區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,1,1,10,4,5,1,17,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,C03,120.647183,24.220308,2
74,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,26,臺中市,沙鹿區,0,2,0,7,3,6,50,5,1,1,5,4,6,6,4,4,10,5,5,2,18,59,2,9,2,1,C03,7,9,1,10,2,14,,59,59,1,12,4,C03,120.572966,24.228709,2
75,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,28,臺中市,龍井區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,9,4,4,1,16,39,2,9,1,1,C03,7,6,1,10,2,13,,39,39,1,12,4,C03,120.582202,24.176964,2
76,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,29,臺中市,神岡區,0,1,0,7,3,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,28,118,,,,,,,,,,,,,118,118,1,,,,120.650435,24.261228,2
77,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,30,臺中市,西區,0,1,0,7,2,6,50,4,1,1,5,4,5,6,1,1,10,5,5,2,17,11,3,10,5,4,B03,7,5,1,8,2,5,,11,11,1,12,4,B03,120.66774,24.13095,2
78,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,31,臺中市,北屯區,0,2,0,7,3,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,12,2,9,2,1,C03,7,6,1,10,2,11,,12,12,1,12,4,C03,120.715287,24.17517,2
79,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,35,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,C03,,,1,,1,,,7,,1,12,4,C03,120.671218,24.173988,3
80,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,35,臺中市,大肚區,0,2,0,7,2,6,30,3,9,1,5,4,5,5,4,4,10,5,5,2,11,6,2,9,2,1,C03,7,9,1,10,2,14,,6,6,1,12,4,C03,120.550356,24.134256,2
81,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,37,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,20,,,,,C03,,,1,,1,,,20,,1,13,4,C03,120.607156,24.160166,3
